CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECION,CP,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,COMUN
5221,AVILÉS-APEADERO,43.5546343,-5.9174416,"Calle del Muelle S/N, Avilés (Asturias)",33402,AVILÉS,ASTURIAS,ESPAÑA,SI,SI,
5224,RAÍCES,43.5763492,-5.9399127,"C/ Antonio Machado, 2 - Estación Ferrocarril, S/N",33400,CASTRILLÓN,ASTURIAS,ESPAÑA,SI,SI,
5225,SALINAS,43.5703913,-5.9566256,"C/ El Alguil, S/N",33405,CASTRILLÓN,ASTURIAS,ESPAÑA,SI,SI,
5227,PIEDRAS BLANCAS,43.5565567,-5.9755523,C/ de la Estación S/N piedras Blancas (Castrillon),33450,CASTRILLÓN,ASTURIAS,ESPAÑA,SI,SI,
5229,VEGARROZADAS,43.5511613,-5.995514,"Avda. Galicia - Estación Ferrocarril, S/N",33450,CASTRILLÓN,ASTURIAS,ESPAÑA,SI,SI,
5231,SANTIAGO DEL MONTE,43.5409241,-6.027971,Camino A la Estación Desde N.632 santiago del Monte (Castrillon),33458,CASTRILLÓN,ASTURIAS,ESPAÑA,SI,SI,
5232,EL PARADOR,43.5351412,-6.0705907,"C/ Parador, S/N",33126,SOTO DEL BARCO,ASTURIAS,ESPAÑA,SI,SI,
5233,SOTO DEL BARCO,43.5290556,-6.0712934,Ctra. de Pravia S/N-Soto del Barco,33126,SOTO DEL BARCO,ASTURIAS,ESPAÑA,SI,SI,
5235,RIBERAS,43.5027396,-6.0743054,"Ctra. As-16 - Estación Ferrocarril, S/N",33127,SOTO DEL BARCO,ASTURIAS,ESPAÑA,SI,SI,
5237,PEÑAULLÁN,43.4911696,-6.0939642,"C/ Aldea Peñaullan, 801",33127,PRAVIA,ASTURIAS,ESPAÑA,SI,SI,
5239,SANTIANES,43.503799,-6.0918391,"C/ Lugar Santianes, 49",33129,PRAVIA,ASTURIAS,ESPAÑA,SI,SI,
5241,LOS CABOS,43.5124147,-6.0974746,"Ctra. As - 224 --- Estación Ferrocarril, S/N",33129,PRAVIA,ASTURIAS,ESPAÑA,SI,SI,
5243,MUROS DEL NALÓN,43.5429728,-6.1110718,C/ Francisco Cabal -Muros de Nalon,33138,MUROS DE NALÓN,ASTURIAS,ESPAÑA,SI,SI,
5244,EL PITO PIÑERA,43.5469091,-6.1433417,"Ctra. N - 632 --- Estación Ferrocarril, S/N",33159,CUDILLERO,ASTURIAS,ESPAÑA,SI,SI,
5245,CUDILLERO,43.5509259,-6.1519305,"C/ San Juan de Piñera, S/N",33159,CUDILLERO,ASTURIAS,ESPAÑA,SI,SI,
5247,VILLADEMAR,43.557065,-6.155477,"Ctra. Cu-1 - Estación Ferrocarril, S/N",33159,CUDILLERO,ASTURIAS,ESPAÑA,NO,SI,
5249,LA MAGDALENA,43.559309,-6.184922,"Ctra. N - 632a --- Estación Ferrocarril, S/N",33155,CUDILLERO,ASTURIAS,ESPAÑA,NO,SI,
5251,SAN MARTÍN DE LUIÑA,43.544753,-6.228702,"Ctra. As-222 - Estación Ferrocarril, S/N",33155,CUDILLERO,ASTURIAS,ESPAÑA,NO,SI,
5253,SAN COSME,43.544069,-6.248091,"Ctra. As-222 - Estación Ferrocarril, S/N",33155,CUDILLERO,ASTURIAS,ESPAÑA,NO,SI,
5255,SOTO DE LUIÑA,43.559635,-6.234369,"Ctra. Cu-7, Estación de Ferrocarril S/N, Cudillero (Asturias)",33156,CUDILLERO,ASTURIAS,ESPAÑA,NO,SI,
5257,VALDREDO,43.56638,-6.263234,C/ Estación Ferrocarril S/N,33157,CUDILLERO,ASTURIAS,ESPAÑA,NO,SI,
5259,NOVELLANA,43.557795,-6.289593,"Ctra. N-632 - Estación Ferrocarril, S/N",33157,CUDILLERO,ASTURIAS,ESPAÑA,NO,SI,
5261,SANTA MARINA,43.552674,-6.305181,"Ctra. N-632 - Estación Ferrocarril, S/N",33158,CUDILLERO,ASTURIAS,ESPAÑA,NO,SI,
5263,BALLOTA,43.550716,-6.322812,"Ctra. N - 632 --- Estación Ferrocarril, S/N",33158,CUDILLERO,ASTURIAS,ESPAÑA,NO,SI,
5265,TABLIZO,43.547253,-6.351225,"Ctra. N-632a - Estación Ferrocarril, S/N",33780,VALDÉS,ASTURIAS,ESPAÑA,NO,SI,
